row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
283,0,1.1678321732255807,-0.9196224337441772,-0.4298529129325593,0.3977509,0.80732936,0.74056435,0.0,0.0,0.5723757,0.4276243,0.48345453,0.5165455,0.9595138,0.0,1.0
284,0,1.6544539560418918,-0.8239702653686326,-0.3207203842415955,0.4739785,0.85027313,0.802435,0.0,0.0,0.5723757,0.4276243,0.5305485,0.4694515,0.87207115,0.0,1.0
288,0,2.742805390337023,-0.5270845647331085,-0.0945844048474876,0.6666365,0.95880955,0.9180259,0.0,0.0,0.5723757,0.4276243,0.58105785,0.41894212,0.778287,0.0,1.0
298,0,1.7876082308251549,-0.7870025722008486,-0.2931934127727983,0.49772167,0.8636492,0.8163997,0.0,0.0,0.5723757,0.4276243,0.54097474,0.45902526,0.8527121,0.0,1.0
308,0,2.195258298559421,-0.7176677451571216,-0.1994366491363547,0.5586936,0.8979985,0.87119454,0.0,0.0,0.5723757,0.4276243,0.5602754,0.43972465,0.8168753,0.0,1.0
309,0,1.0817418561386547,0.1695606942531742,-0.300447369929198,0.39408466,0.80526394,0.73758864,0.39601842,0.0,0.0,1.0,0.8082467,0.19175331,0.35645,0.0,1.0
312,0,1.443850194357486,-0.6197587196204704,-0.4210779988515521,0.5066323,0.8686691,0.7081964,0.0,0.0,0.5723757,0.4276243,0.5441054,0.4558946,0.8468991,0.0,1.0
313,0,2.076975411017298,-0.7394302114613904,-0.2262852491990586,0.5405626,0.8877842,0.85574704,0.0,0.0,0.5723757,0.4276243,0.55488056,0.44511947,0.8268922,0.0,1.0
314,0,2.2701924796577413,-0.7029383333123715,-0.1826314919606594,0.5704318,0.90461135,0.8807219,0.0,0.0,0.5723757,0.4276243,0.56286883,0.43713117,0.8120598,0.0,1.0
317,0,1.2136206098753073,0.5677421953798072,-0.2232222769029923,0.41981575,0.81975985,0.7551098,0.5268484,0.0,0.5723757,0.4276243,0.8768292,0.12317081,0.22910817,0.0,1.0
319,0,1.3705632165545223,-0.7054237202729075,-0.4220999247004091,0.47610655,0.851472,0.71845144,0.0,0.0,0.5723757,0.4276243,0.53152156,0.46847847,0.8702645,0.0,1.0
322,0,2.5705254359485243,-0.3289647101897625,-0.1834001210081431,0.7016521,0.978536,0.8324023,0.0,0.0,0.5723757,0.4276243,0.5854532,0.41454682,0.77012587,0.0,1.0
